,,,,Total,Hombre,Mujer,No especificado
19 029,Hualahuises,2022,Junio,2,2,,
19 029,Hualahuises,2022,Julio,1,1,,
19 029,Hualahuises,2022,Agosto,1,1,,
19 029,Hualahuises,2022,Octubre,1,1,,
19 031,Juárez,Total,Total,122,101,21,
19 031,Juárez,Total,Enero,7,6,1,
19 031,Juárez,Total,Febrero,5,4,1,
19 031,Juárez,Total,Marzo,8,8,,
19 031,Juárez,Total,Abril,6,5,1,
19 031,Juárez,Total,Mayo,15,12,3,
19 031,Juárez,Total,Junio,3,2,1,
19 031,Juárez,Total,Julio,16,14,2,
19 031,Juárez,Total,Agosto,13,10,3,
19 031,Juárez,Total,Septiembre,16,13,3,
19 031,Juárez,Total,Octubre,8,7,1,
19 031,Juárez,Total,Noviembre,8,6,2,
19 031,Juárez,Total,Diciembre,17,14,3,
19 031,Juárez,2022,Total,122,101,21,
19 031,Juárez,2022,Enero,7,6,1,
19 031,Juárez,2022,Febrero,5,4,1,
19 031,Juárez,2022,Marzo,8,8,,
19 031,Juárez,2022,Abril,6,5,1,
19 031,Juárez,2022,Mayo,15,12,3,
19 031,Juárez,2022,Junio,3,2,1,
19 031,Juárez,2022,Julio,16,14,2,
19 031,Juárez,2022,Agosto,13,10,3,
19 031,Juárez,2022,Septiembre,16,13,3,
19 031,Juárez,2022,Octubre,8,7,1,
19 031,Juárez,2022,Noviembre,8,6,2,
19 031,Juárez,2022,Diciembre,17,14,3,
19 032,Lampazos de Naranjo,Total,Total,1,1,,
19 032,Lampazos de Naranjo,Total,Marzo,1,1,,
19 032,Lampazos de Naranjo,2022,Total,1,1,,
19 032,Lampazos de Naranjo,2022,Marzo,1,1,,
19 033,Linares,Total,Total,25,24,1,
19 033,Linares,Total,Enero,2,2,,
19 033,Linares,Total,Febrero,1,1,,
19 033,Linares,Total,Abril,1,1,,
19 033,Linares,Total,Junio,3,3,,
19 033,Linares,Total,Julio,3,3,,
19 033,Linares,Total,Agosto,4,4,,
19 033,Linares,Total,Septiembre,8,7,1,
19 033,Linares,Total,Noviembre,2,2,,
19 033,Linares,Total,Diciembre,1,1,,
19 033,Linares,2022,Total,25,24,1,
19 033,Linares,2022,Enero,2,2,,
19 033,Linares,2022,Febrero,1,1,,
19 033,Linares,2022,Abril,1,1,,
19 033,Linares,2022,Junio,3,3,,
19 033,Linares,2022,Julio,3,3,,
19 033,Linares,2022,Agosto,4,4,,
19 033,Linares,2022,Septiembre,8,7,1,
19 033,Linares,2022,Noviembre,2,2,,
19 033,Linares,2022,Diciembre,1,1,,
19 034,Marín,Total,Total,3,1,2,
19 034,Marín,Total,Junio,1,,1,
19 034,Marín,Total,Noviembre,1,,1,
19 034,Marín,Total,Diciembre,1,1,,
19 034,Marín,2022,Total,3,1,2,
19 034,Marín,2022,Junio,1,,1,
19 034,Marín,2022,Noviembre,1,,1,
19 034,Marín,2022,Diciembre,1,1,,
19 037,Mina,Total,Total,1,1,,
19 037,Mina,Total,Febrero,1,1,,
19 037,Mina,2022,Total,1,1,,
19 037,Mina,2022,Febrero,1,1,,
19 038,Montemorelos,Total,Total,30,28,2,
19 038,Montemorelos,Total,Enero,3,3,,
19 038,Montemorelos,Total,Marzo,1,1,,
19 038,Montemorelos,Total,Abril,1,1,,
19 038,Montemorelos,Total,Mayo,2,1,1,
19 038,Montemorelos,Total,Junio,5,5,,
19 038,Montemorelos,Total,Julio,2,2,,
19 038,Montemorelos,Total,Agosto,3,2,1,
19 038,Montemorelos,Total,Septiembre,6,6,,
19 038,Montemorelos,Total,Octubre,7,7,,
19 038,Montemorelos,2021,Total,1,1,,
19 038,Montemorelos,2021,Marzo,1,1,,
19 038,Montemorelos,2022,Total,29,27,2,
19 038,Montemorelos,2022,Enero,3,3,,
19 038,Montemorelos,2022,Abril,1,1,,
19 038,Montemorelos,2022,Mayo,2,1,1,
19 038,Montemorelos,2022,Junio,5,5,,
19 038,Montemorelos,2022,Julio,2,2,,
19 038,Montemorelos,2022,Agosto,3,2,1,
19 038,Montemorelos,2022,Septiembre,6,6,,
19 038,Montemorelos,2022,Octubre,7,7,,
19 039,Monterrey,Total,Total,304,279,24,1
19 039,Monterrey,Total,Enero,25,23,2,
19 039,Monterrey,Total,Febrero,27,24,3,
19 039,Monterrey,Total,Marzo,22,21,1,
19 039,Monterrey,Total,Abril,18,15,3,
19 039,Monterrey,Total,Mayo,29,26,3,
19 039,Monterrey,Total,Junio,23,22,,1
19 039,Monterrey,Total,Julio,27,26,1,
19 039,Monterrey,Total,Agosto,30,27,3,
19 039,Monterrey,Total,Septiembre,26,24,2,
19 039,Monterrey,Total,Octubre,31,30,1,
19 039,Monterrey,Total,Noviembre,28,25,3,
19 039,Monterrey,Total,Diciembre,18,16,2,
19 039,Monterrey,2021,Total,3,3,,
19 039,Monterrey,2021,Septiembre,1,1,,
19 039,Monterrey,2021,Noviembre,1,1,,
19 039,Monterrey,2021,Diciembre,1,1,,
19 039,Monterrey,2022,Total,301,276,24,1
19 039,Monterrey,2022,Enero,25,23,2,
19 039,Monterrey,2022,Febrero,27,24,3,
19 039,Monterrey,2022,Marzo,22,21,1,
19 039,Monterrey,2022,Abril,18,15,3,
19 039,Monterrey,2022,Mayo,29,26,3,
19 039,Monterrey,2022,Junio,23,22,,1
19 039,Monterrey,2022,Julio,27,26,1,
19 039,Monterrey,2022,Agosto,30,27,3,
19 039,Monterrey,2022,Septiembre,25,23,2,
19 039,Monterrey,2022,Octubre,31,30,1,
19 039,Monterrey,2022,Noviembre,27,24,3,
19 039,Monterrey,2022,Diciembre,17,15,2,
19 041,Pesquería,Total,Total,42,41,1,
19 041,Pesquería,Total,Enero,5,5,,
19 041,Pesquería,Total,Febrero,1,1,,
19 041,Pesquería,Total,Marzo,2,2,,
19 041,Pesquería,Total,Abril,4,4,,
19 041,Pesquería,Total,Mayo,5,5,,
19 041,Pesquería,Total,Junio,4,4,,
19 041,Pesquería,Total,Julio,3,3,,
19 041,Pesquería,Total,Agosto,6,5,1,
19 041,Pesquería,Total,Septiembre,2,2,,
19 041,Pesquería,Total,Octubre,2,2,,
19 041,Pesquería,Total,Noviembre,7,7,,
19 041,Pesquería,Total,Diciembre,1,1,,
19 041,Pesquería,2021,Total,1,1,,
19 041,Pesquería,2021,Julio,1,1,,
19 041,Pesquería,2022,Total,41,40,1,
19 041,Pesquería,2022,Enero,5,5,,
19 041,Pesquería,2022,Febrero,1,1,,
19 041,Pesquería,2022,Marzo,2,2,,
19 041,Pesquería,2022,Abril,4,4,,
19 041,Pesquería,2022,Mayo,5,5,,
19 041,Pesquería,2022,Junio,4,4,,
19 041,Pesquería,2022,Julio,2,2,,
19 041,Pesquería,2022,Agosto,6,5,1,
19 041,Pesquería,2022,Septiembre,2,2,,
19 041,Pesquería,2022,Octubre,2,2,,
19 041,Pesquería,2022,Noviembre,7,7,,
19 041,Pesquería,2022,Diciembre,1,1,,
19 042,Los Ramones,Total,Total,13,11,2,
19 042,Los Ramones,Total,Abril,3,3,,
19 042,Los Ramones,Total,Junio,1,1,,
19 042,Los Ramones,Total,Agosto,6,5,1,
19 042,Los Ramones,Total,Octubre,2,2,,
19 042,Los Ramones,Total,Diciembre,1,,1,
19 042,Los Ramones,2022,Total,13,11,2,
19 042,Los Ramones,2022,Abril,3,3,,
19 042,Los Ramones,2022,Junio,1,1,,
19 042,Los Ramones,2022,Agosto,6,5,1,
19 042,Los Ramones,2022,Octubre,2,2,,
19 042,Los Ramones,2022,Diciembre,1,,1,
19 044,Sabinas Hidalgo,Total,Total,1,,1,
19 044,Sabinas Hidalgo,Total,Diciembre,1,,1,
19 044,Sabinas Hidalgo,2022,Total,1,,1,
19 044,Sabinas Hidalgo,2022,Diciembre,1,,1,
19 045,Salinas Victoria,Total,Total,17,12,5,
19 045,Salinas Victoria,Total,Febrero,1,1,,
19 045,Salinas Victoria,Total,Marzo,4,2,2,
19 045,Salinas Victoria,Total,Mayo,2,2,,
19 045,Salinas Victoria,Total,Julio,1,1,,
19 045,Salinas Victoria,Total,Agosto,2,1,1,
19 045,Salinas Victoria,Total,Octubre,3,3,,
19 045,Salinas Victoria,Total,Noviembre,3,2,1,
19 045,Salinas Victoria,Total,Diciembre,1,,1,
19 045,Salinas Victoria,2021,Total,1,,1,
19 045,Salinas Victoria,2021,Diciembre,1,,1,
19 045,Salinas Victoria,2022,Total,16,12,4,
19 045,Salinas Victoria,2022,Febrero,1,1,,
19 045,Salinas Victoria,2022,Marzo,4,2,2,
19 045,Salinas Victoria,2022,Mayo,2,2,,
19 045,Salinas Victoria,2022,Julio,1,1,,
19 045,Salinas Victoria,2022,Agosto,2,1,1,
19 045,Salinas Victoria,2022,Octubre,3,3,,
19 045,Salinas Victoria,2022,Noviembre,3,2,1,
19 046,San Nicolás de los Garza,Total,Total,75,66,9,
19 046,San Nicolás de los Garza,Total,Enero,1,1,,
19 046,San Nicolás de los Garza,Total,Febrero,3,2,1,
19 046,San Nicolás de los Garza,Total,Marzo,5,5,,
19 046,San Nicolás de los Garza,Total,Abril,6,5,1,
19 046,San Nicolás de los Garza,Total,Mayo,11,10,1,
19 046,San Nicolás de los Garza,Total,Junio,9,9,,
19 046,San Nicolás de los Garza,Total,Julio,10,9,1,
19 046,San Nicolás de los Garza,Total,Agosto,9,7,2,
19 046,San Nicolás de los Garza,Total,Septiembre,9,6,3,
19 046,San Nicolás de los Garza,Total,Octubre,4,4,,
19 046,San Nicolás de los Garza,Total,Noviembre,4,4,,
19 046,San Nicolás de los Garza,Total,Diciembre,4,4,,
19 046,San Nicolás de los Garza,2022,Total,75,66,9,
19 046,San Nicolás de los Garza,2022,Enero,1,1,,
19 046,San Nicolás de los Garza,2022,Febrero,3,2,1,
19 046,San Nicolás de los Garza,2022,Marzo,5,5,,
19 046,San Nicolás de los Garza,2022,Abril,6,5,1,
19 046,San Nicolás de los Garza,2022,Mayo,11,10,1,
19 046,San Nicolás de los Garza,2022,Junio,9,9,,
19 046,San Nicolás de los Garza,2022,Julio,10,9,1,
19 046,San Nicolás de los Garza,2022,Agosto,9,7,2,
19 046,San Nicolás de los Garza,2022,Septiembre,9,6,3,
19 046,San Nicolás de los Garza,2022,Octubre,4,4,,
19 046,San Nicolás de los Garza,2022,Noviembre,4,4,,
19 046,San Nicolás de los Garza,2022,Diciembre,4,4,,
19 047,Hidalgo,Total,Total,9,8,1,
19 047,Hidalgo,Total,Marzo,1,1,,
19 047,Hidalgo,Total,Junio,1,1,,
19 047,Hidalgo,Total,Agosto,2,2,,
19 047,Hidalgo,Total,Septiembre,3,2,1,
19 047,Hidalgo,Total,Octubre,1,1,,
19 047,Hidalgo,Total,Noviembre,1,1,,
19 047,Hidalgo,2017,Total,3,3,,
19 047,Hidalgo,2017,Agosto,2,2,,
19 047,Hidalgo,2017,Noviembre,1,1,,
19 047,Hidalgo,2018,Total,3,2,1,
19 047,Hidalgo,2018,Septiembre,2,1,1,
19 047,Hidalgo,2018,Octubre,1,1,,
19 047,Hidalgo,2022,Total,3,3,,
19 047,Hidalgo,2022,Marzo,1,1,,
19 047,Hidalgo,2022,Junio,1,1,,
19 047,Hidalgo,2022,Septiembre,1,1,,
19 048,Santa Catarina,Total,Total,75,70,5,
19 048,Santa Catarina,Total,Enero,7,7,,
19 048,Santa Catarina,Total,Febrero,10,10,,
19 048,Santa Catarina,Total,Marzo,5,4,1,
19 048,Santa Catarina,Total,Abril,8,8,,
19 048,Santa Catarina,Total,Mayo,5,5,,
19 048,Santa Catarina,Total,Junio,12,11,1,
19 048,Santa Catarina,Total,Julio,1,,1,
19 048,Santa Catarina,Total,Agosto,10,9,1,
19 048,Santa Catarina,Total,Septiembre,2,2,,
19 048,Santa Catarina,Total,Octubre,3,3,,
19 048,Santa Catarina,Total,Noviembre,6,6,,
19 048,Santa Catarina,Total,Diciembre,6,5,1,
19 048,Santa Catarina,2022,Total,75,70,5,
19 048,Santa Catarina,2022,Enero,7,7,,
19 048,Santa Catarina,2022,Febrero,10,10,,
19 048,Santa Catarina,2022,Marzo,5,4,1,
19 048,Santa Catarina,2022,Abril,8,8,,
19 048,Santa Catarina,2022,Mayo,5,5,,
19 048,Santa Catarina,2022,Junio,12,11,1,
19 048,Santa Catarina,2022,Julio,1,,1,
19 048,Santa Catarina,2022,Agosto,10,9,1,
19 048,Santa Catarina,2022,Septiembre,2,2,,
19 048,Santa Catarina,2022,Octubre,3,3,,
19 048,Santa Catarina,2022,Noviembre,6,6,,
19 048,Santa Catarina,2022,Diciembre,6,5,1,
19 049,Santiago,Total,Total,9,9,,
19 049,Santiago,Total,Febrero,3,3,,
19 049,Santiago,Total,Mayo,2,2,,
19 049,Santiago,Total,Octubre,2,2,,
19 049,Santiago,Total,Noviembre,2,2,,
19 049,Santiago,2022,Total,9,9,,
19 049,Santiago,2022,Febrero,3,3,,
19 049,Santiago,2022,Mayo,2,2,,
19 049,Santiago,2022,Octubre,2,2,,
19 049,Santiago,2022,Noviembre,2,2,,
19 051,Villaldama,Total,Total,2,2,,
19 051,Villaldama,Total,Febrero,1,1,,
19 051,Villaldama,Total,Diciembre,1,1,,
19 051,Villaldama,2022,Total,2,2,,
19 051,Villaldama,2022,Febrero,1,1,,
19 051,Villaldama,2022,Diciembre,1,1,,
19 999,No especificado,Total,Total,16,15,1,
19 999,No especificado,Total,Mayo,5,5,,
19 999,No especificado,Total,Junio,5,5,,
19 999,No especificado,Total,Julio,1,1,,
19 999,No especificado,Total,Agosto,1,1,,
19 999,No especificado,Total,Septiembre,1,1,,
19 999,No especificado,Total,Octubre,2,1,1,
19 999,No especificado,Total,Diciembre,1,1,,
19 999,No especificado,2021,Total,1,,1,
19 999,No especificado,2021,Octubre,1,,1,
19 999,No especificado,2022,Total,15,15,,
19 999,No especificado,2022,Mayo,5,5,,
19 999,No especificado,2022,Junio,5,5,,
19 999,No especificado,2022,Julio,1,1,,
19 999,No especificado,2022,Agosto,1,1,,
19 999,No especificado,2022,Septiembre,1,1,,
19 999,No especificado,2022,Octubre,1,1,,
19 999,No especificado,2022,Diciembre,1,1,,
20,Oaxaca,Total,Total,788,664,123,1
20,Oaxaca,Total,Enero,55,49,6,
20,Oaxaca,Total,Febrero,65,47,18,
20,Oaxaca,Total,Marzo,49,42,7,
20,Oaxaca,Total,Abril,53,45,8,
20,Oaxaca,Total,Mayo,69,58,10,1
20,Oaxaca,Total,Junio,61,47,14,
20,Oaxaca,Total,Julio,66,59,7,
20,Oaxaca,Total,Agosto,98,84,14,
20,Oaxaca,Total,Septiembre,58,44,14,
20,Oaxaca,Total,Octubre,83,71,12,
20,Oaxaca,Total,Noviembre,55,50,5,
20,Oaxaca,Total,Diciembre,70,62,8,
20,Oaxaca,Total,No especificado,6,6,,
20,Oaxaca,2014,Total,1,1,,
20,Oaxaca,2014,Octubre,1,1,,
20,Oaxaca,2017,Total,1,1,,
20,Oaxaca,2017,Junio,1,1,,
20,Oaxaca,2018,Total,1,1,,
20,Oaxaca,2018,Marzo,1,1,,
20,Oaxaca,2019,Total,2,2,,
20,Oaxaca,2019,Noviembre,2,2,,
20,Oaxaca,2020,Total,4,4,,
20,Oaxaca,2020,Diciembre,4,4,,
20,Oaxaca,2021,Total,17,15,2,
20,Oaxaca,2021,Febrero,1,,1,
20,Oaxaca,2021,Abril,1,1,,
20,Oaxaca,2021,Mayo,1,1,,
20,Oaxaca,2021,Junio,1,1,,
20,Oaxaca,2021,Julio,1,1,,
20,Oaxaca,2021,Agosto,3,3,,
20,Oaxaca,2021,Septiembre,1,,1,
20,Oaxaca,2021,Noviembre,4,4,,
20,Oaxaca,2021,Diciembre,3,3,,
20,Oaxaca,2021,No especificado,1,1,,
20,Oaxaca,2022,Total,761,639,121,1
20,Oaxaca,2022,Enero,55,49,6,
20,Oaxaca,2022,Febrero,64,47,17,
20,Oaxaca,2022,Marzo,48,41,7,
20,Oaxaca,2022,Abril,52,44,8,
20,Oaxaca,2022,Mayo,68,57,10,1
20,Oaxaca,2022,Junio,59,45,14,
20,Oaxaca,2022,Julio,65,58,7,
20,Oaxaca,2022,Agosto,95,81,14,
20,Oaxaca,2022,Septiembre,57,44,13,
20,Oaxaca,2022,Octubre,82,70,12,
20,Oaxaca,2022,Noviembre,49,44,5,
20,Oaxaca,2022,Diciembre,63,55,8,
20,Oaxaca,2022,No especificado,4,4,,
20,Oaxaca,No especificado,Total,1,1,,
20,Oaxaca,No especificado,No especificado,1,1,,
20 002,Acatlán de Pérez Figueroa,Total,Total,3,3,,
20 002,Acatlán de Pérez Figueroa,Total,Enero,1,1,,
20 002,Acatlán de Pérez Figueroa,Total,Abril,1,1,,
20 002,Acatlán de Pérez Figueroa,Total,Julio,1,1,,
20 002,Acatlán de Pérez Figueroa,2022,Total,3,3,,
20 002,Acatlán de Pérez Figueroa,2022,Enero,1,1,,
20 002,Acatlán de Pérez Figueroa,2022,Abril,1,1,,
20 002,Acatlán de Pérez Figueroa,2022,Julio,1,1,,
20 006,Asunción Nochixtlán,Total,Total,1,1,,
20 006,Asunción Nochixtlán,Total,Abril,1,1,,
20 006,Asunción Nochixtlán,2022,Total,1,1,,
20 006,Asunción Nochixtlán,2022,Abril,1,1,,
20 010,El Barrio de la Soledad,Total,Total,3,2,1,
20 010,El Barrio de la Soledad,Total,Marzo,1,,1,
20 010,El Barrio de la Soledad,Total,Agosto,1,1,,
20 010,El Barrio de la Soledad,Total,Octubre,1,1,,
20 010,El Barrio de la Soledad,2022,Total,3,2,1,
20 010,El Barrio de la Soledad,2022,Marzo,1,,1,
20 010,El Barrio de la Soledad,2022,Agosto,1,1,,
20 010,El Barrio de la Soledad,2022,Octubre,1,1,,
20 014,Ciudad Ixtepec,Total,Total,2,1,1,
20 014,Ciudad Ixtepec,Total,Marzo,1,,1,
20 014,Ciudad Ixtepec,Total,Mayo,1,1,,
20 014,Ciudad Ixtepec,2022,Total,2,1,1,
20 014,Ciudad Ixtepec,2022,Marzo,1,,1,
20 014,Ciudad Ixtepec,2022,Mayo,1,1,,
20 015,Coatecas Altas,Total,Total,1,1,,
20 015,Coatecas Altas,Total,Octubre,1,1,,
20 015,Coatecas Altas,2022,Total,1,1,,
20 015,Coatecas Altas,2022,Octubre,1,1,,
20 021,Cosolapa,Total,Total,4,4,,
20 021,Cosolapa,Total,Abril,1,1,,
20 021,Cosolapa,Total,Mayo,1,1,,
20 021,Cosolapa,Total,Octubre,2,2,,
20 021,Cosolapa,2022,Total,4,4,,
20 021,Cosolapa,2022,Abril,1,1,,
20 021,Cosolapa,2022,Mayo,1,1,,
20 021,Cosolapa,2022,Octubre,2,2,,
20 023,Cuilápam de Guerrero,Total,Total,1,1,,
20 023,Cuilápam de Guerrero,Total,Febrero,1,1,,
20 023,Cuilápam de Guerrero,2022,Total,1,1,,
20 023,Cuilápam de Guerrero,2022,Febrero,1,1,,
20 025,Chahuites,Total,Total,3,2,1,
20 025,Chahuites,Total,Febrero,1,,1,
20 025,Chahuites,Total,Agosto,1,1,,
20 025,Chahuites,Total,Noviembre,1,1,,
20 025,Chahuites,2022,Total,3,2,1,
20 025,Chahuites,2022,Febrero,1,,1,
20 025,Chahuites,2022,Agosto,1,1,,
20 025,Chahuites,2022,Noviembre,1,1,,
20 026,Chalcatongo de Hidalgo,Total,Total,1,1,,
20 026,Chalcatongo de Hidalgo,Total,Mayo,1,1,,
20 026,Chalcatongo de Hidalgo,2022,Total,1,1,,
20 026,Chalcatongo de Hidalgo,2022,Mayo,1,1,,
20 028,Heroica Ciudad de Ejutla de Crespo,Total,Total,10,7,3,
20 028,Heroica Ciudad de Ejutla de Crespo,Total,Febrero,2,2,,
20 028,Heroica Ciudad de Ejutla de Crespo,Total,Abril,2,,2,
20 028,Heroica Ciudad de Ejutla de Crespo,Total,Junio,1,,1,
20 028,Heroica Ciudad de Ejutla de Crespo,Total,Octubre,2,2,,
20 028,Heroica Ciudad de Ejutla de Crespo,Total,Noviembre,3,3,,
20 028,Heroica Ciudad de Ejutla de Crespo,2022,Total,10,7,3,
20 028,Heroica Ciudad de Ejutla de Crespo,2022,Febrero,2,2,,
20 028,Heroica Ciudad de Ejutla de Crespo,2022,Abril,2,,2,
20 028,Heroica Ciudad de Ejutla de Crespo,2022,Junio,1,,1,
20 028,Heroica Ciudad de Ejutla de Crespo,2022,Octubre,2,2,,
20 028,Heroica Ciudad de Ejutla de Crespo,2022,Noviembre,3,3,,
20 032,Fresnillo de Trujano,Total,Total,1,1,,
20 032,Fresnillo de Trujano,Total,Septiembre,1,1,,
20 032,Fresnillo de Trujano,2022,Total,1,1,,
20 032,Fresnillo de Trujano,2022,Septiembre,1,1,,
20 034,Guadalupe de Ramírez,Total,Total,1,1,,
20 034,Guadalupe de Ramírez,Total,Julio,1,1,,
20 034,Guadalupe de Ramírez,2022,Total,1,1,,
20 034,Guadalupe de Ramírez,2022,Julio,1,1,,
20 036,Guevea de Humboldt,Total,Total,1,1,,
20 036,Guevea de Humboldt,Total,Junio,1,1,,
20 036,Guevea de Humboldt,2022,Total,1,1,,
20 036,Guevea de Humboldt,2022,Junio,1,1,,
20 037,Mesones Hidalgo,Total,Total,1,1,,
20 037,Mesones Hidalgo,Total,Diciembre,1,1,,
20 037,Mesones Hidalgo,2022,Total,1,1,,
20 037,Mesones Hidalgo,2022,Diciembre,1,1,,
20 039,Heroica Ciudad de Huajuapan de León,Total,Total,19,18,1,
20 039,Heroica Ciudad de Huajuapan de León,Total,Enero,5,5,,
20 039,Heroica Ciudad de Huajuapan de León,Total,Febrero,1,1,,
20 039,Heroica Ciudad de Huajuapan de León,Total,Marzo,1,1,,
20 039,Heroica Ciudad de Huajuapan de León,Total,Abril,1,1,,
20 039,Heroica Ciudad de Huajuapan de León,Total,Mayo,1,1,,
20 039,Heroica Ciudad de Huajuapan de León,Total,Junio,1,1,,
20 039,Heroica Ciudad de Huajuapan de León,Total,Julio,2,2,,
20 039,Heroica Ciudad de Huajuapan de León,Total,Septiembre,1,1,,
20 039,Heroica Ciudad de Huajuapan de León,Total,Octubre,2,1,1,
20 039,Heroica Ciudad de Huajuapan de León,Total,Noviembre,2,2,,
20 039,Heroica Ciudad de Huajuapan de León,Total,Diciembre,2,2,,
20 039,Heroica Ciudad de Huajuapan de León,2022,Total,19,18,1,
20 039,Heroica Ciudad de Huajuapan de León,2022,Enero,5,5,,
20 039,Heroica Ciudad de Huajuapan de León,2022,Febrero,1,1,,
20 039,Heroica Ciudad de Huajuapan de León,2022,Marzo,1,1,,
20 039,Heroica Ciudad de Huajuapan de León,2022,Abril,1,1,,
20 039,Heroica Ciudad de Huajuapan de León,2022,Mayo,1,1,,
20 039,Heroica Ciudad de Huajuapan de León,2022,Junio,1,1,,
20 039,Heroica Ciudad de Huajuapan de León,2022,Julio,2,2,,
20 039,Heroica Ciudad de Huajuapan de León,2022,Septiembre,1,1,,
20 039,Heroica Ciudad de Huajuapan de León,2022,Octubre,2,1,1,
20 039,Heroica Ciudad de Huajuapan de León,2022,Noviembre,2,2,,
20 039,Heroica Ciudad de Huajuapan de León,2022,Diciembre,2,2,,
20 041,Huautla de Jiménez,Total,Total,5,4,1,
20 041,Huautla de Jiménez,Total,Marzo,1,,1,
20 041,Huautla de Jiménez,Total,Mayo,1,1,,
20 041,Huautla de Jiménez,Total,Julio,1,1,,
20 041,Huautla de Jiménez,Total,Septiembre,1,1,,
20 041,Huautla de Jiménez,Total,Diciembre,1,1,,
20 041,Huautla de Jiménez,2022,Total,5,4,1,
20 041,Huautla de Jiménez,2022,Marzo,1,,1,
20 041,Huautla de Jiménez,2022,Mayo,1,1,,
20 041,Huautla de Jiménez,2022,Julio,1,1,,
20 041,Huautla de Jiménez,2022,Septiembre,1,1,,
20 041,Huautla de Jiménez,2022,Diciembre,1,1,,
20 042,Ixtlán de Juárez,Total,Total,2,2,,
20 042,Ixtlán de Juárez,Total,Octubre,2,2,,
20 042,Ixtlán de Juárez,2022,Total,2,2,,
20 042,Ixtlán de Juárez,2022,Octubre,2,2,,
20 043,Heroica Ciudad de Juchitán de Zaragoza,Total,Total,39,24,15,
